TalentId,Name,Identifier,JapaneseName,IsEggOnly,FrenchName
30,Blusterer,blusterer,つむじ風,FALSE,Trombe
207,Bobby-Dazzler,bobby-dazzler,カリスマ,FALSE,Tentateur
170,Bombshell,bombshell,ボマー,FALSE,Détonateur
111,Breath Taker,breath-taker,アンチブレス,FALSE,Coupe-souffle
183,Breath Worker,breath-worker,ゴッドブレス,FALSE,Souffleteur
230,Calasmos,calasmos,邪神ニズゼルファ,FALSE,Kalasmos
184,Charge Leader,charge-leader,ヒーロー,FALSE,Chef énergique
112,Charmer,charmer,みわく,FALSE,Charmeur
193,Cheesy Grin,cheesy-grin,もぐもぐスマイル,FALSE,Sourire carnassier
133,Chiaroscuro Shield,chiaroscuro-shield,白黒ガードSP,FALSE,Bouclier clair-obscur
110,Chilly Receptionist,chilly-receptionist,吹雪,FALSE,Frigo
109,Choreographer,choreographer,エンターテイナー,FALSE,Chorégraphe
212,Cleric,cleric,ゆうき,FALSE,Ecclésiastique
152,Cold Snapper,cold-snapper,アイスバーン,FALSE,Frigoriste
84,Confusion Controller,confusion-controller,こんらんガード,FALSE,Briseur de confusion
194,Cool Customer,cool-customer,つめたいまなざし,FALSE,Tête froide
233,Corvus,corvus,堕天使エルギオス,FALSE,Corvus
11,Crack Afficionado,crack-afficionado,氷結の心,FALSE,Espoir Glace
12,Crack Virtuoso,crack-virtuoso,氷結の極意,FALSE,Esthète Glace
73,Crack Ward,crack-ward,氷結ガード,FALSE,Protection Glace
7,Crag Afficionado,crag-afficionado,地の心,FALSE,Espoir Séisme
8,Crag Virtuoso,crag-virtuoso,地の極意,FALSE,Esthète Séisme
71,Crag Ward,crag-ward,地ガード,FALSE,Protection Séisme
96,Cupid,cupid,キューピット,FALSE,Cupidon
154,Cure-All,cure-all,全体回復,FALSE,Guérisseur
42,Cutpurse,cutpurse,ぬすっと,FALSE,Coupe-jarrets
134,Cyclone Shield,cyclone-shield,爆風ガードSP,FALSE,Bouclier cyclonique
22,Dancer,dancer,ダンサー,FALSE,Danseuse
29,Dark Artist,dark-artist,悪魔のささやき,FALSE,Démonologue
153,Dark Horse,dark-horse,ダークホース,FALSE,Bête noire
86,Death Defier,death-defier,即死ガード,FALSE,Mort incertaine
77,Debilitation Ducker,debilitation-ducker,弱体化ガード,FALSE,Briseur d'affaiblissement
21,Deep Breather,deep-breather,ブレスマスター,FALSE,Éventeur fou
62,Defence Booster I,defence-booster-i,守備力アップ1,FALSE,Boost Défense I
63,Defence Booster II,defence-booster-ii,守備力アップ2,FALSE,Boost Défense II
120,Defence Booster III,defense-booster-iii,守備力アップ3,FALSE,Boost Défense III
121,Defence Booster IV,defense-booster-iv,守備力アップ4,FALSE,Boost Défense IV
54,Defender,defender,ぼうぎょ,FALSE,Défenseur
146,Demoniac,demoniac,魔氷壁,FALSE,Teigne
186,Destroyer,destroyer,デストロイ,FALSE,Destructeur
180,Devil's Advocate,devils-advocate,デビルスマイル,FALSE,Avocat du diable
236,Dhoulmagus,dhoulmagus,ドルマゲス,FALSE,Dhoulmagus
165,Doomsayer,doomsayer,死の誘い,FALSE,Tourmenteur
24,Dragonheart,dragonheart,ドラゴンソウル,FALSE,Cœur de dragon
80,Drain Dodger,drain-dodger,MP吸収ガード,FALSE,Briseur d'aspirmagie
167,Duelist,duelist,剣闘士,FALSE,Duelliste
161,Empath,empath,ジャスティス,FALSE,Bras de la Justice
52,Enfeebler,enfeebler,ダウナー,FALSE,Émollient
156,Enigma,enigma,ミステリアス,FALSE,Cachottier
242,Estark,estark,エスターク,FALSE,Estark
137,Evil Genius,evil-genius,邪悪,FALSE,Génie du mal
40,Fighter,fighter,ウォリアー,FALSE,Brisquard
162,Fire Chief,fire-chief,フレア,FALSE,Combattant du feu
148,Firebrand,firebrand,バーニング,FALSE,Crâmeur
219,Fluffy,fluffy,わたぼう,FALSE,Doudouleur
51,Fortifier,fortifier,アッパー,FALSE,Énergisant
103,Freeze Popper,freeze-popper,爆氷の剣技,FALSE,Canon à neige
129,Freezer Burner,freezer-burner,氷炎の剣技,FALSE,Chaud-froid
1,Frizz Afficionado,frizz-afficionado,火の心,FALSE,Espoir Flamme
2,Frizz Virtuoso,frizz-virtuoso,火の極意,FALSE,Esthète Flamme
68,Frizz Ward,frizz-ward,火ガード,FALSE,Protection Flamme
126,Frosty Receptionist,frosty-receptionist,氷獄,FALSE,Glacière
131,Fulgurite Shield,fulgurite-shield,稲妻ガードSP,FALSE,Bouclier électrique
188,Fuzzy Thinker,fuzzy-thinker,ぴぴぼう,FALSE,Agent infiltré
136,Glacier Shield,glacier-shield,流氷ガードSP,FALSE,Bouclier polaire
88,Good Knight,good-knight,騎士道,FALSE,Chevalier servant
25,Graveheart,graveheart,アンデッド,FALSE,Zombivant
221,Greygnarl,greygnarl,グレイナル,FALSE,Grizius
204,Grump,grump,絶望,FALSE,Ronchonchon
104,Hair Splitter,hair-splitter,けんごうSP,FALSE,Débiteur
197,Hard Warder,hard-warder,ウルトラガードSP,TRUE,Protection suprême
151,Hardliner,hardliner,一文字,FALSE,Boss du bourre-pif
237,Hargon,hargon,ハーゴン,FALSE,Kaos
155,Hater,hater,怨念,FALSE,Sac de bile
47,Healer,healer,HP回復,FALSE,Soigneur
216,Heavenly Herald,heavenly-hearld,神の使い,FALSE,Héraut céleste
226,Heretic,heretic,禁術,FALSE,Hérétique
37,Hexcommunicator,hexcommunicator,カース,FALSE,Occultiste
26,Hive Mind,hive-mind,むしのしらせ,FALSE,Cafardeur
195,Holy Warder,holy-warder,ミラクルガードSP,TRUE,Protection Divine
181,Hottie,hottie,トロピカル,FALSE,Désastre du jour
56,HP Booster I,hp-booster-i,HPアップ1,FALSE,Boost PV I
57,HP Booster II,hp-booster-ii,HPアップ2,FALSE,Boost PV II
114,HP Booster III,hp-booster-iii,HPアップ3,FALSE,Boost PV III
115,HP Booster IV,hp-booster-iv,HPアップ4,FALSE,Boost PV IV
45,Hulk,hulk,巨漢,FALSE,Malabar
93,Impactor,impactor,闇の爆炎SP,FALSE,Bûcher-charcuteur
97,Irritant,irritant,ジャマー,FALSE,Enquiquineur
238,Jasper Unbound,jasper-unbound,魔軍司令ホメロス,FALSE,Jasper déchaîné
139,Just Ruler,just-ruler,王道,FALSE,Roi probe
147,Leading Light,leading-light,ジェネラル,FALSE,Meneur de troubles
159,Lightning Rod,lightning-rod,ライトニング,FALSE,Foudre de guerre
217,Lord of the Dragovians,lord-of-the-dragovians,竜神王,FALSE,Seigneur des Dragoviens
208,Mad Scientist,mad-scientist,かがくしゃ,FALSE,Savant fou
106,Magic Maven,magic-maven,魔術,FALSE,Sommité des sorts
135,Magma Shield,magma-shield,流氷ガードSP,FALSE,Bouclier magmatique
229,Malroth,malroth,シドー,FALSE,Malroth
164,Maniac,maniac,マッドキラー,FALSE,Forcené
171,Mariner,mariner,水兵,FALSE,Marinier
108,Martial Maven,martial-maven,武術,FALSE,Sommité de la savate
99,Martyr,martyr,じこぎせい,FALSE,Martyr
27,Materialist,materialist,いしあたま,FALSE,Matérialiste
232,Mordegon, Lord of Shadows,mordegon-lord-of-shadows,大魔王ウルノーガ,FALSE,Mortégor
234,Mortamor,mortamor,デスタムーア,FALSE,Mortamor
173,Mouth Guard,mouth-guard,プロテクト,FALSE,Surprotecteur
58,MP Booster I,mp-booster-i,MPアップ1,FALSE,Boost PM I
59,MP Booster II,mp-booster-ii,MPアップ2,FALSE,Boost PM II
116,MP Booster III,mp-booster-iii,MPアップ3,FALSE,Boost PM III
117,MP Booster IV,mp-booster-iv,MPアップ4,FALSE,Boost PM IV
189,Multidisciplinarian,multidisciplinarian,武芸百般,FALSE,Maître polyvalent
240,Murdaw,murdaw,ムドー,FALSE,Meurtor
179,Musclehead,musclehead,マッスル,FALSE,Tête de muscle
192,Mystic,mystic,神秘,FALSE,Mystique
28,Naturalist,naturalist,けもの道,FALSE,Naturaliste
31,Nature Child,nature-child,ナチュラル,FALSE,Naturopathe
241,Nelgel the Netherfiend,nelgel-the-netherfiend,冥獣王ネルゲル,FALSE,Infernal Nelgel
239,Nimzo,nimzo,ミルドラース,FALSE,Nimzo
244,Nokturnus,nokturnus,ダークドレアム,FALSE,Nokturnus
140,Nuisance,nuisance,おじゃま虫,FALSE,Boulet
214,Orgodemir,orgodemir,オルゴ・デミーラ,FALSE,Orgodémir
107,Outlaw,outlaw,バンデッド,FALSE,Canaille
176,Paragon,paragon,ごうけつ,FALSE,Parangon
85,Paralysis Protector,paralysis-protector,マヒガード,FALSE,Briseur de paralysie
48,Paramedic,paramedic,異常回復,FALSE,Urgentiste
163,Party Monster,party-monster,カーニバル,FALSE,Danseur macabre
94,Perfect Speller,perfect-speller,グランスペルSP,FALSE,Pentacliste
213,Pest Controller,pest-controller,ターミネーター,FALSE,Éradicateur
81,Poison Preventer,poison-preventer,どくガード,FALSE,Briseur d'empoisonnement
92,Polariser,polariser,聖なる吹雪SP,FALSE,Saint de glace
172,Pop Diva,pop-diva,アイドル,FALSE,Diva
144,Pop Idol,pop-idol,ポップスター,FALSE,Popstar
38,Power Player,power-player,ちからもち,FALSE,Marmule
46,Prankster,prankster,いたずら,FALSE,Sacripant
182,Protector,protector,ガーディアン,FALSE,Bon génie
235,Psaro the Manslayer,psaro-the-manslayer,デスピサロ,FALSE,Psaro l'Exterminateur
185,Pyrotechnician,pyrotechnician,業火,FALSE,Pyrotechnicien
190,Rainmaker,rainmaker,てんのめぐみ,FALSE,Faiseur de pluie
245,Ramia,ramia,ラーミア,FALSE,Ramia
231,Razerburn,razerburn,守護者ラズバーン,FALSE,Razban
203,Refrigerator,refrigerator,フリーズ,FALSE,Congélateur
199,Respirator,respirator,呼吸術,FALSE,Sophrologue
227,Rhapthorne,rhapthorne,暗黒神ラプソーン,FALSE,Rhapthorne
178,Rockin' Roller,rockin-roller,ロックスター,FALSE,Rockstar
145,Rug Cutter,rug-cutter,神舞,FALSE,Vedette de bal
175,Sage,sage,賢者,FALSE,Sage
220,Scruffy,scruffy,ワルぼう,FALSE,Poupouille
20,Shallow Breather,shallow-breather,息吹,FALSE,Éventeur en herbe
15,Sizz Afficionado,sizz-afficionado,光の心,FALSE,Espoir Crame
16,Sizz Virtuoso,sizz-virtuoso,光の極意,FALSE,Esthète Crame
75,Sizz Ward,sizz-ward,光ガード,FALSE,Protection Crame
141,Slayer,slayer,スレイヤー,FALSE,Saigneur
100,Sleep Counsellor,sleep-counsellor,睡魔,FALSE,Tsé-tsérapeuthe
83,Sleep Suppressor,sleep-suppressor,ねむりガード,FALSE,Briseur de sommeil
23,Slimer,slimer,スラフォース,FALSE,Pot de glu
105,Smart Blazer,smart-blazer,獄炎,FALSE,Pyromane
187,Smarty-Pants,smarty-pants,インテリ,FALSE,Petit malin
149,Snow Drifer,snow-drifter,暴風,FALSE,Chasse-neige
87,Soggy Slasher,soggy-slasher,ブルーソード,FALSE,Estoqueur d'eau
49,Soothsayer,soothsayer,妖精,FALSE,Remèdiateur
191,Sovereign,sovereign,皇帝,FALSE,Souverain
196,Sparkling Warder,sparkling-warder,スーパーガードSP,TRUE,Protection d'enfer
95,Speedster,speedster,しんそく,FALSE,Accélérateur
33,Spicy Slasher,spicy-slasher,レッドソード,FALSE,Estoqueur de feu
3,Splash Afficionado,splash-afficionado,水の心,FALSE,Espoir Superplouf
4,Splash Virtuoso,splash-virtuoso,水の極意,FALSE,Esthète Superplouf
69,Splish Ward,splish-ward,水ガード,FALSE,Protection Plouf
55,Stinker,stinker,あくしゅう,FALSE,Schlinguiste
35,Stony Slasher,stony-slasher,イエローソード,FALSE,Estoqueur de pierre
130,Storm Brewer,storm-brewer,風雷の剣技,FALSE,Brasseur de tempête
160,Storm Chaser,storm-chaser,ストーム,FALSE,Chasseur de tempête
158,Strong Speller,strong-speller,ソーサラー,FALSE,Mage max
82,Stun Stopper,stun-stopper,休みガード,FALSE,Briseur d'étourdissement
168,Super Naturalist,super-naturalist,ワイルド,FALSE,Super naturaliste
174,Supreme Healer,supreme-healer,超回復SP,FALSE,Guérisseur suprême
98,Sweet-Talker,sweet-talker,スイート,FALSE,Beau parleur
246,Swirling Dervish,swirling-dervish,ハラハラフルーリー,FALSE,Bombe glacée
138,Taste Buddies,taste-buddies,もりもりハッピー,FALSE,Trio gourmand
157,The Almighty,the-almighty,神さま,FALSE,Tout-Puissant
218,The Dragonlord,the-dragonlord,竜王,FALSE,Lordragon
36,Thrill-Seeker,thrill-seeker,スリラー,FALSE,Risque-tout
43,Tongue Twister,tongue-twister,ヌメヌメ,FALSE,Linguiste
50,Toxicologist,toxicologist,毒舌,FALSE,Toxicologue
132,Tremor Shield,tremor-shield,流氷ガードSP,FALSE,Bouclier tectonique
225,Überkilling Machine,uberkilling-machine,キラーマジンガ,FALSE,Mékanocinglé
198,Vagabond,vagabond,ふうらいぼう,FALSE,Vagabond
169,Vaudevillian,vaudevillian,アクロバット,FALSE,Saltimbanque
90,Vexologist,vexologist,トリッキー,FALSE,Mauvaise langue
200,Walking Disaster,walking-disaster,ディザスター,FALSE,Désastre ambulant
210,Warmonger,warmonger,闘神,FALSE,Va-t-en-guerre
166,Water Baby,water-baby,水の安らぎ,FALSE,Maître-nageur
39,Wild Child,wild-child,あばれんぼう,FALSE,Enfant sauvage
53,Willing Helper,willing-helper,サポーター,FALSE,Bénévole
66,Wisdom Booster I,wisdoom-booster-i,かしこさアップ1,FALSE,Boost Sagesse I
67,Wisdom Booster II,wisdom-booster-ii,かしこさアップ2,FALSE,Boost Sagesse II
124,Wisdom Booster III,wisdoom-booster-iii,かしこさアップ3,FALSE,Boost Sagesse III
125,Wisdom Booster IV,wisdoom-booster-iv,かしこさアップ4,FALSE,Boost Sagesse IV
5,Woosh Afficionado,woosh-afficionado,風の心,FALSE,Espoir Tornade
6,Woosh Virtuoso,woosh-virtuoso,風の極意,FALSE,Esthète Tornade
70,Woosh Guard,woosh-ward,風ガード,FALSE,Protection Tornade
150,Wrecker,wrecker,クラッシャー,FALSE,Concasseur
222,Wyrmhole Dragon,wyrmhole-dragon,じげんりゅう,FALSE,Dragon du temps
224,Xenlon,xenlon,しんりゅう,FALSE,Xenlon
17,Zam Afficionado,zam-afficionado,闇の心,FALSE,Espoir Élec
18,Zam Virtuoso,zam-virtuoso,闇の極意,FALSE,Esthète Élec
76,Zam Ward,zam-ward,闇ガード,FALSE,Protection Élec
13,Zap Afficionado,zap-afficionado,電撃の心,FALSE,Espoir Foudre
14,Zap Virtuoso,zap-virtuoso,電撃の極意,FALSE,Esthète Foudre
74,Zap Ward,zap-ward,電撃ガード,FALSE,Protection Foudre
243,Zoma,zoma,ゾーマ,FALSE,Zoma
